id,title,authors,venue,year,cosine_avg_sim,combined_avg_sim
lV-Wz1Tc72gJ,Concurrency Control and Recovery in Database Systems,ACMS Anthology,,,155.3864153911371,155.3864153911371
ykt9EtFIDb0J,Completeness of Query Languages for the Entity-Relationship Model.,ACMS Anthology,,,154.97547348693385,154.97547348693385
VnenpXoUAmwJ,Model and Verification of a Data Manager Based on ARIES.,ACMS Anthology,,,154.912587659946,154.912587659946
EJN8R5Opy3wJ,A Distributed Algorithm for Global Query Optimization in Multidatabase Systems.,ACMS Anthology,,,154.89564245404625,154.89564245404625
hsRCWQE_sx0J,Efficient Spatial Query Processing in Geographic Database Systems.,ACMS Anthology,,,154.5618002144782,154.5618002144782
g4dVYLqwpToJ,Design and Maintenance of Data-Intensive Web Sites.,ACMS Anthology,,,154.3795767138853,154.3795767138853
J4sCIAjJFhwJ,Incremental Generalization for Mining in a Data Warehousing Environment.,ACMS Anthology,,,154.3283202637418,154.3283202637418
eiztPpLamFMJ,Acyclic Query Processing in Object-Oriented Databases.,ACMS Anthology,,,154.24824991197403,154.24824991197403
fzL4ixVpc6IJ,Dynamic and Load-balanced Task-Oriented Datbase Query Processing in Parallel Systems.,ACMS Anthology,,,154.2071542843869,154.2071542843869
dfR2bB2uExMJ,The Demarcation Protocol: A Technique for Maintaining Linear Arithmetic Constraints in Distributed  ,ACMS Anthology,,,154.198327012678,154.198327012678
AcLLZQ9bmw0J,Database Support for Efficiently Maintaining Derived Data.,ACMS Anthology,,,154.17600263722719,154.17600263722719
ztC5e-DQL84J,Formal Foundations for Optimising Aggregation Functions in Database Programming Languages.,ACMS Anthology,,,154.0792539016983,154.0792539016983
pBy9VlQefoUJ,Correctness of ISA Hierarchies in Object-Oriented Database Schemas.,ACMS Anthology,,,153.9000613161466,153.9000613161466
TT68nq6cFrgJ,A Pessimistic Concurrency Control Algorithm in Multidatabase Systems.,ACMS Anthology,,,153.87205153934443,153.87205153934443
ZJEGK3daOcsJ,Modelling of Audio/Video Data.,ACMS Anthology,,,153.8507342198378,153.8507342198378
dORkkFWNFUUJ,Integrating Active Concepts into an Object-Oriented database System.,ACMS Anthology,,,153.7698681566826,153.7698681566826
4jG7osPWNsgJ,Algebraic Optimization of Object-Oriented Query Languages.,ACMS Anthology,,,153.73771298271404,153.73771298271404
_r5-awIu0NwJ,The Aditi Deductive Database System (Extented Abstract).,ACMS Anthology,,,153.62628940454653,153.62628940454653
toCUqxgfKoAJ,Mining Temporal Relationships with Multiple Granularities in Time Sequences.,ACMS Anthology,,,153.42136383895803,153.42136383895803
H70DrNEDccYJ,Th̩mis: a database programming language with integrity constraints.,ACMS Anthology,,,153.38425525580453,153.38425525580453
f8tissaJVi8J,Spatial Joins and R-trees.,ACMS Anthology,,,153.30833720493004,153.30833720493004
PgzcABl76dQJ,Query by Diagramm: A Graphic Query System.,ACMS Anthology,,,153.11657324247878,153.11657324247878
noTo81QxmHQJ,Databases on the Web: Technologies for Federation Architectures and Case Studies (Tutorial).,"ACMS Anthology, P Edition",,,153.07976026458672,153.07976026458672
ToumGDmKbXgJ,Carnot and InfoSleuth: Database Technology and the World Wide Web.,"ACMS Anthology, P Edition",,,153.07602585945054,153.07602585945054
ocpA8actVzUJ,Supporting Full-Text Information Retrieval with a Persistent Object Store.,ACMS Anthology,,,153.02958091454605,153.02958091454605
1zgqAaZv3NAJ,  and Implementation of Advanced Knowledge Processing in the KDMS KRISYS (Demonstration Description).,"ACMS Anthology, P Edition",,,153.02805733001193,153.02805733001193
PKt9iNjraRYJ,Towards Efficient Online Database Reorganization.,ACMS Anthology,,,152.94391477080023,152.94391477080023
-RFIaxNKoW4J,Querying Multidimensional Databases.,ACMS Anthology,,,152.73888332695208,152.73888332695208
YWzkq7-TA5MJ,The WHIPS Prototype for Data Warehouse Creation and Maintenance.,"ACMS Anthology, P Edition",,,152.43353119375908,152.43353119375908
zF6wNy5dQUUJ,Discovering All Most Specific Sentences by Randomized Algorithms.,ACMS Anthology,,,152.36136212879958,152.36136212879958
PziDM429oXQJ,Template-Based Wrappers in the TSIMMIS System.,"ACMS Anthology, P Edition",,,152.22081242076183,152.22081242076183
P-jrIizJxEgJ,Paradise: A Database System for GIS Applications.,"ACMS Anthology, P Edition",,,152.1942216021036,152.1942216021036
86-DS0U0jY0J,"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases.","ACMS Anthology, P Edition",,,152.1431366674355,152.1431366674355
IGP0aMosThEJ,The CORAL Deductive Database System.,"ACMS Anthology, P Edition",,,152.0548989932417,152.0548989932417
CXih3vmijaoJ,The MultiView Project: Object-Oriented View Technology and Applications.,"ACMS Anthology, P Edition",,,152.02478409436975,152.02478409436975
UOXm9cb58YUJ,Structural Matching and Discovery in Document Databases.,"ACMS Anthology, P Edition",,,151.96824055380162,151.96824055380162
XoAeyeaR-yAJ,The MENTOR Workbench for Enterprise-wide Workflow Management.,"ACMS Anthology, P Edition",,,151.88209446624762,151.88209446624762
M4G18MfKn2oJ,Tutorial: State of the art in workflow management system research and products. a tutorial at the  ,C Mohan,,1996.0,151.70318507813516,151.70318507813516
unk4y9wquvMJ,Equi-Depth Histograms For Estimating Selectivity Factors For Multi-Dimensional Queries.,"ACMS Anthology, P Edition",,,151.51288093612433,151.51288093612433
JntLVX4TPi0J,The InfoSleuth Project.,"ACMS Anthology, P Edition",,,151.51106991891513,151.51106991891513
cJgYQWElaAgJ,LORE: A Lightweight Object REpository for Semistructured Data.,"ACMS Anthology, P Edition",,,151.47562595473482,151.47562595473482
QzpePwRoku8J,The REACH Active OODBMS.,"ACMS Anthology, P Edition",,,151.46052367905773,151.46052367905773
ILDKDWTgNHwJ,The Garlic Project.,"ACMS Anthology, P Edition",,,151.44621310138862,151.44621310138862
D0EVu0EZM-UJ,Languages for Multi-database Interoperability.,"ACMS Anthology, P Edition",,,151.20725517784342,151.20725517784342
fSKep047pbgJ,SONAR: System for Optimized Numeric AssociationRules.,"ACMS Anthology, P Edition",,,151.13211995146136,151.13211995146136
pCsAI2xXTPoJ,SENTINEL: An Object-Oriented DBMS With Event-Based Rules.,"ACMS Anthology, P Edition",,,151.1293709264705,151.1293709264705
RvtHXIfsMasJ,The SAMOS Active DBMS Prototype.,"ACMS Anthology, P Edition",,,151.1188041315993,151.1188041315993
zjrD8FvY6TgJ,STRUDEL: A Web-site Management System.,"ACMS Anthology, P Edition",,,151.06685722770627,151.06685722770627
oRVklYlnlDEJ,QBI: Query By Icons.,"ACMS Anthology, P Edition",,,150.7896349942414,150.7896349942414
D-1jnVnmWnQJ,Picture Programming Project.,"ACMS Anthology, P Edition",,,150.5323528262359,150.5323528262359
bbr1Xk0-hH8J,ZOO: A Desktop Emperiment Management Environment.,"ACMS Anthology, P Edition",,,150.4588422676051,150.4588422676051
EzyG5o-2q0QJ,On the power of magic. In: Proc of the ACM Symp on Principles of Database Systems,"C Beeri, R Ramakrishnan",,1987.0,150.09442710048347,150.09442710048347
3DOggiRjEkwJ,A study of the distribution and morphology of the mice of Santa Cruz Island: an example of the  ,AR Bills,,1969.0,149.77749053752885,149.77749053752885
Os2oLwVcqOwJ,State of the Art of Commercial Technology and Research in Workflow Management,A Sheth,,,149.76882887308653,149.76882887308653
x5Po0pdoKcQJ,DBCache: A Project on Database Caching Support for Web Applications,C Mohan,,,149.67934486795394,149.67934486795394
lq95oVnApaMJ,The role of repetition in the process of memorising and understanding: a comparison of the views of  ,"B Dahlin, D Watkins",,1997.0,149.67834208982543,149.67834208982543
bta0RJP3V_wJ,The task of the referee,AJ Smith,,,149.62199676166594,149.62199676166594
3XwLBVHUBvAJ,Selectivity Estimation in Extensible Databases-A Neural Network Approach.,"ACMS DiSC, ACMS Anthology, P Edition",,,149.55321182824648,149.55321182824648
8Zmr3FiZILwJ,Performance Evaluation of an Adaptive and Robust Load Control Method for the Avoidance of Data- ,", G Weikum",,,149.45280964375215,149.45280964375215
pBTSyxiQA04J,Directions in System Architectures for High Transaction Rates,C Mohan,,,149.39834338912715,149.39834338912715
I0Kn3dzF4TgJ,"Fastlk? ap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and  ",C Faloutsos,,,149.2940811075839,149.2940811075839
zWvzud6p3U4J,On Answering Queries in the Presence of Limited Access Patterns,"C Li, E Chang",,,149.0165922501467,149.0165922501467
hW42xtmW08YJ,  In Proceedings of the 7th East-European Conference on Advances in Databases and Information Systems,"A Albani, A Keiblinger, K Turowski, C Winnewisser",,2003.0,148.9943170000911,148.9943170000911
vGeegEztVl8J,Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology.,"ACMS Anthology, P Edition, E Edition",,,148.95360802585438,148.95360802585438
DARGFsgNOxEJ,Using linear classifiers in the integration of user modeling and text content analysis in the  ,"AD Esteban, MJM Lopez, M de Buenaga Rodriguez, JMG ",,,148.89170284876008,148.89170284876008
5U4OD01STbsJ,A study of the geochemistry of the Mariana Island arc system and its bearing on the genesis and  ,A Meijer,,1947.0,148.84809620008116,148.84809620008116
Tpb-LwPZJNMJ,"  a fast algorithm for indexing, data-mining and visualization of traditional and multimedia datasets ","C Faloutsos, KI Lin",,1994.0,148.8473339836234,148.8473339836234
YJlUtEk7zwkJ,Application Servers and Associated Technologies,C Mohan,,,148.810562777446,148.810562777446
eE98qv4oVnQJ,An Efficient and Flexible Method for Archiving a Data Base,"C Mohan, I Narang",,,148.80194865886966,148.80194865886966
a5i2nK7U0JMJ,An investigation of factors operative in the development of the personality characteristics of  ,A Kerckhoff,,1953.0,148.7885043533948,148.7885043533948
kOBt-5e7dgQJ,On the validity of the global time assumption,AK Singh,,,148.7785094320687,148.7785094320687
WQW4eZ9ECuEJ,A COMPREHENSIVE STUDY OF THE RELATIONSHIP OF BLOCK SCHEDULING TO THE TEACHING OF MATHEMATICS,AE Mayo,,2003.0,148.75489252934685,148.75489252934685
XkdLpQ5x-YIJ,Computing Complete Answers to Queries in the Presence of Limited Access Patterns (Revision),C Li,,,148.70434578191347,148.70434578191347
wI6vEf7tAE0J,ARIES/IM: An Efficient and High Concurrency Index Management Method Using Write-Ahead,"C Mohan, F Levine",,1989.0,148.68335734628846,148.68335734628846
